Tabulka,Sloupec,Typ dat,Může být NULL?
agency_management_settlements,id,uuid,NO
agency_management_settlements,profile_id,uuid,NO
agency_management_settlements,tenant_id,uuid,NO
agency_management_settlements,settlement_period,date,NO
agency_management_settlements,role_type,text,NO
agency_management_settlements,amount,numeric,NO
agency_management_settlements,status,text,NO
agency_management_settlements,approved_by,uuid,YES
agency_management_settlements,approved_at,timestamp with time zone,YES
agency_management_settlements,created_at,timestamp with time zone,NO
agency_management_settlements,updated_at,timestamp with time zone,NO
apartment_ical_sources,id,uuid,NO
apartment_ical_sources,tenant_id,uuid,NO
apartment_ical_sources,apartment_id,uuid,NO
apartment_ical_sources,ical_url,text,NO
apartment_ical_sources,source_label,text,NO
apartment_ical_sources,last_synced_at,timestamp with time zone,YES
apartment_ical_sources,created_at,timestamp with time zone,YES
apartment_ical_sources,updated_at,timestamp with time zone,YES
apartment_owners,id,uuid,NO
apartment_owners,apartment_id,uuid,NO
apartment_owners,owner_id,uuid,NO
apartment_owners,deleted_at,timestamp with time zone,YES
apartment_owners,is_primary_billing,boolean,YES
apartment_services,id,uuid,NO
apartment_services,tenant_id,uuid,NO
apartment_services,apartment_id,uuid,NO
apartment_services,service_id,uuid,NO
apartment_services,custom_price,numeric,YES
apartment_services,custom_description,text,YES
apartment_services,trigger_type,text,NO
apartment_services,schedule_interval,text,YES
apartment_services,is_mandatory,boolean,NO
apartment_services,payer_type,text,NO
apartment_services,requires_photo,boolean,YES
apartment_services,checklist_template_id,uuid,YES
apartments,id,uuid,NO
apartments,tenant_id,uuid,NO
apartments,name,text,NO
apartments,address,text,YES
apartments,keybox,text,YES
apartments,status,text,YES
apartments,check_in_time,text,YES
apartments,check_out_time,text,YES
apartments,standard_cleaning_duration,integer,YES
apartments,owner_notes,text,YES
apartments,deleted_at,timestamp with time zone,YES
apartments,zone_id,uuid,YES
apartments,code,text,YES
apartments,monthly_management_fee,numeric,YES
apartments,managed_from,date,YES
apartments,parking_instructions,text,YES
apartments,review_link,text,YES
app_super_admins,id,uuid,NO
audit_logs,id,uuid,NO
audit_logs,tenant_id,uuid,YES
audit_logs,user_id,uuid,YES
audit_logs,action_type,text,NO
audit_logs,table_name,text,YES
audit_logs,record_id,text,YES
audit_logs,details,jsonb,YES
audit_logs,created_at,timestamp with time zone,NO
automation_message_queue,id,uuid,NO
automation_message_queue,tenant_id,uuid,NO
automation_message_queue,rule_id,uuid,YES
automation_message_queue,entity_id,uuid,NO
automation_message_queue,entity_type,text,NO
automation_message_queue,scheduled_for,timestamp with time zone,NO
automation_message_queue,status,USER-DEFINED,NO
automation_message_queue,channel,USER-DEFINED,NO
automation_message_queue,recipient_contact,text,YES
automation_message_queue,editable_payload,jsonb,NO
automation_message_queue,attempt_count,integer,NO
automation_message_queue,last_error,text,YES
automation_message_queue,created_at,timestamp with time zone,NO
automation_message_queue,updated_at,timestamp with time zone,NO
automation_rules,id,uuid,NO
automation_rules,tenant_id,uuid,NO
automation_rules,name,text,NO
automation_rules,is_active,boolean,NO
automation_rules,trigger_event,text,NO
automation_rules,offset_minutes,integer,NO
automation_rules,channel,USER-DEFINED,NO
automation_rules,template_id,uuid,NO
automation_rules,target_entity,text,NO
automation_rules,quiet_hours_start,time without time zone,YES
automation_rules,quiet_hours_end,time without time zone,YES
automation_rules,created_at,timestamp with time zone,NO
automation_rules,updated_at,timestamp with time zone,NO
billing_shortfall_transfers,id,uuid,NO
billing_shortfall_transfers,tenant_id,uuid,NO
billing_shortfall_transfers,client_id,uuid,NO
billing_shortfall_transfers,amount,numeric,NO
billing_shortfall_transfers,description,text,YES
billing_shortfall_transfers,task_id,uuid,YES
billing_shortfall_transfers,cash_transaction_id,uuid,NO
billing_shortfall_transfers,created_at,timestamp with time zone,NO
billing_snapshots,id,uuid,NO
billing_snapshots,tenant_id,uuid,NO
billing_snapshots,client_id,uuid,NO
billing_snapshots,billing_period,date,NO
billing_snapshots,snapshot_data,jsonb,NO
billing_snapshots,locked_at,timestamp with time zone,NO
billing_snapshots,locked_by,uuid,NO
checklist_template_items,id,uuid,NO
checklist_template_items,tenant_id,uuid,NO
checklist_template_items,template_id,uuid,NO
checklist_template_items,title,text,NO
checklist_template_items,is_photo_required,boolean,NO
checklist_template_items,sort_order,integer,NO
checklist_template_items,created_at,timestamp with time zone,NO
checklist_template_items,updated_at,timestamp with time zone,NO
checklist_templates,id,uuid,NO
checklist_templates,tenant_id,uuid,NO
checklist_templates,name,text,NO
checklist_templates,description,text,YES
checklist_templates,is_active,boolean,NO
checklist_templates,created_at,timestamp with time zone,NO
checklist_templates,updated_at,timestamp with time zone,NO
client_addresses,id,uuid,NO
client_addresses,tenant_id,uuid,NO
client_addresses,client_id,uuid,NO
client_addresses,label,text,NO
client_addresses,address,text,NO
client_addresses,created_at,timestamp with time zone,YES
client_addresses,updated_at,timestamp with time zone,YES
client_addresses,deleted_at,timestamp with time zone,YES
clients,id,uuid,NO
clients,tenant_id,uuid,NO
clients,name,text,NO
clients,email,text,YES
clients,phone,text,YES
clients,client_type,text,YES
clients,created_at,timestamp with time zone,YES
clients,deleted_at,timestamp with time zone,YES
clients,profile_id,uuid,YES
clients,agency_id,uuid,YES
clients,language_code,character varying,YES
cron_edge_config,key,text,NO
cron_edge_config,value,text,NO
currencies,code,text,NO
currencies,symbol,text,NO
currencies,rate,numeric,NO
currencies,name,text,YES
currencies,created_at,timestamp with time zone,YES
employee_cash_transactions,id,uuid,NO
employee_cash_transactions,tenant_id,uuid,NO
employee_cash_transactions,wallet_id,uuid,NO
employee_cash_transactions,task_id,uuid,YES
employee_cash_transactions,amount,numeric,NO
employee_cash_transactions,transaction_type,text,NO
employee_cash_transactions,created_by,uuid,NO
employee_cash_transactions,created_at,timestamp with time zone,YES
employee_cash_transactions,note,text,YES
employee_cash_transactions,receipt_image_url,text,YES
employee_cash_transactions,expected_amount,numeric,YES
employee_cash_transactions,apartment_id,uuid,YES
employee_cash_transactions,client_id,uuid,YES
employee_cash_transactions,is_shortfall_resolved,boolean,NO
employee_cash_transactions,shortfall_resolution_type,text,YES
employee_cash_transactions,shortfall_resolution_note,text,YES
employee_cash_wallets,id,uuid,NO
employee_cash_wallets,tenant_id,uuid,NO
